pl_radius,pl_mass,star_temp,star_radius,pl_mass_log,pl_radius_log
9.05,60.38739733,5255.914132507477,1.0014813828677545,4.117204558873636,2.307572634505085
2.95,9.01,5107.0,0.8,2.303584593327129,1.3737155789130306
0.88,4.0,3770.0,0.5066,1.6094379124341003,0.6312717768418579
13.5,511.7063,4891.0,10.06,6.239703166601813,2.6741486494265287
12.3,4288.14086724,3734.0,0.69,8.36384172781992,2.5877640352277083
2.54535814,8.7,6353.0,1.4182,2.272125885509337,1.265639181679535
2.39729851,6.33,5622.14,1.03315,1.9919755158985601,1.222980559912932
2.76,13.2,4227.0,0.672,2.653241964607215,1.324418957401803
11.39953337,211.35589065,3388.8,0.3697,5.3582635966617875,2.5176588404512974
4.48524519,18.4,5942.0,1.142,2.9652730660692823,1.7020617946424044
0.6,0.156,5645.0,0.91,0.14496577025018573,0.4700036292457356
2.27,5.77,4954.0,0.719,1.9125010869241836,1.184789984909162
14.2,166.54208527,5930.64,1.32619,5.121234575049067,2.7212954278522306
13.4,575.26941667,5255.914132507477,1.0014813828677545,6.3565752886152165,2.667228206581955
1.9493759,4.46,5926.0,0.939,1.6974487897568138,1.0815935886478645
18.046,1430.175,6933.0,1.53,7.266251064182805,2.946857105771854
2.8,8.25,5700.0,0.95,2.224623551524334,1.33500106673234
2.79,8.2,5560.0,0.939,2.2192034840549946,1.332366019094335
0.51,0.087,5495.0,0.961,0.08342160813907239,0.412109650826833
1.579,3.12,5236.0,0.92,1.415853163361435,0.9474017268992077
13.6,472.61321,4912.0,1.97,6.160390975917287,2.681021528714291
3.6,12.6,5272.0,0.851,2.6100697927420065,1.5260563034950494
14.000041,292.4036,5700.0,1.097,5.681549135572257,2.708052934431808
4.0,15.1,4828.0,0.73,2.7788192719904172,1.6094379124341003
87.20586985,6356.56814,5255.914132507477,1.0014813828677545,8.757401215288384,4.479673512385588
13.78707,1093.3352,6180.0,1.52,6.997902334588958,2.69375315026802
1.65156749,3.37,5710.0,1.524,1.4747630091074988,0.9751509707879895
1.75,3.71,4984.0,0.636,1.5496879080283263,1.0116009116784799
2.47,6.66,5574.0,0.94,2.0360119837525,1.244154593958768
2.4,20.0,5770.0,1.653,3.044522437723423,1.2237754316221157
2.046,4.55,3664.0,0.539,1.713797927758343,1.11382925447297
19.50366,448.1403,6330.0,1.85,6.107335311093353,3.020603406793969
1.5,2.86,3359.0,0.24,1.3506671834767394,0.9162907318741551
9.58,66.6,4914.0,0.783181,4.213607983048918,2.3589654264301534
1.75,8.0,4503.0,0.72,2.1972245773362196,1.0116009116784799
1.238,2.06,4884.0,0.749,1.1184149159642893,0.8055826098897335
2.57,7.13,5324.0,0.84,2.0955609235597192,1.2725655957915476
1.47,2.76,5517.0,0.9,1.324418957401803,0.9042181506398859
15.69257298,1938.7532827,6791.0,1.68398,7.570316070104113,2.8149638887636934
12.745,404.263,5475.0,0.963,6.004536239064869,2.620675121617209
14.3,146.2018,5758.0,1.17561,4.991804434480881,2.72785282839839
2.079,5.738,3863.0,0.547,1.9077631449843613,1.1246048689423633
8.33948164,79.77493016,3266.0,0.425,4.3916666470862324,2.2342507517712926
